job_name,resource_name,operation_number,start_time,finish_time
S3J01,R1,1,0,185
S3J01,R2,2,185,385
S3J01,R3,3,385,600
S3J01,R4,4,600,830
S3J02,R1,1,185,410
S3J02,R2,2,410,650
S3J02,R3,3,650,905
S3J02,R4,4,905,1175
S3J04,R1,1,410,595
S3J04,R2,2,650,850
S3J04,R3,3,905,1120
S3J04,R4,4,1175,1405
S3J07,R1,1,595,780
S3J07,R2,2,850,1050
S3J07,R3,3,1120,1335
S3J07,R4,4,1405,1635
S3J05,R1,1,780,1005
S3J05,R2,2,1050,1290
S3J05,R3,3,1335,1590
S3J05,R4,4,1635,1905
S3J08,R1,1,1005,1230
S3J08,R2,2,1290,1530
S3J08,R3,3,1590,1845
S3J08,R4,4,1905,2175
S3J06,R1,1,1230,1495
S3J06,R2,2,1530,1810
S3J06,R3,3,1845,2140
S3J06,R4,4,2175,2485
S3J03,R1,1,1495,1760
S3J03,R2,2,1810,2090
S3J03,R3,3,2140,2435
S3J03,R4,4,2485,2795
S1J08,R1,1,1760,2105
S1J08,R2,2,2105,2470
S1J08,R3,3,2470,2855
S1J08,R4,4,2855,3260
